Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K09PBW9GYD03EXFEF81AEVCT,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,published,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,2025-07-16T13:21:44.754Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.083Z,,,variant_01K09PBWAG89VFR5KVKMCHRKPP,Webcam White,WEBCAM-WHITE,,,,,false,false,,2025-07-16T13:21:44.784Z,,,,,,Color,White,,,,65,,65,prod_01K09PBW9GYD03EXFEF81AEVCT,2025-07-16T13:21:44.784Z,0,,
prod_01K09PBW9GYD03EXFEF81AEVCT,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,published,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,2025-07-16T13:21:44.754Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.083Z,,,variant_01K09PBWAGADP729D1Z9GFC8G9,Webcam Black,WEBCAM-BLACK,,,,,false,false,,2025-07-16T13:21:44.784Z,,,,,,Color,Black,,,,59,,59,prod_01K09PBW9GYD03EXFEF81AEVCT,2025-07-16T13:21:44.784Z,0,,
prod_01K09PBWCN9C2WNVC2KQH7BERD,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",published,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:44.855Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T07:04:42.597Z,,,variant_01K09PBWDK9MJ45HFBB34KR98V,256 GB Purple,PHONE-256-PURPLE,,,,,false,false,,2025-07-16T13:21:44.884Z,,,,,,Memory,256 GB,Color,Purple,,999,,999,prod_01K09PBWCN9C2WNVC2KQH7BERD,2025-07-16T13:21:44.884Z,0,,
prod_01K09PBWCN9C2WNVC2KQH7BERD,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",published,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:44.855Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T07:04:42.597Z,,,variant_01K09PBWDM3PBTCP9TGPM3AG8G,256 GB Red,PHONE-256-RED,,,,,false,false,,2025-07-16T13:21:44.884Z,,,,,,Memory,256 GB,Color,Red,,959,,959,prod_01K09PBWCN9C2WNVC2KQH7BERD,2025-07-16T13:21:44.884Z,0,,
prod_01K09PBWFA44EN3P8A5GTTXK0X,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",published,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:44.939Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T07:04:42.598Z,,,variant_01K09PBWGA1A7QC23C64KEE6H3,ACME Monitor 4k White,ACME-MONITOR-WHITE,,,,,false,false,,2025-07-16T13:21:44.970Z,,,,,,Color,White,,,,599,,599,prod_01K09PBWFA44EN3P8A5GTTXK0X,2025-07-16T13:21:44.970Z,0,,
prod_01K09PBWFA44EN3P8A5GTTXK0X,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",published,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:44.939Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T07:04:42.598Z,,,variant_01K09PBWGA9390PADCK9CA013M,ACME Monitor 4k White,ACME-MONITOR-BLACK,,,,,false,false,,2025-07-16T13:21:44.970Z,,,,,,Color,Black,,,,599,,599,prod_01K09PBWFA44EN3P8A5GTTXK0X,2025-07-16T13:21:44.970Z,0,,
prod_01K09PBWHV60RMQ9R6BSFJ2RY0,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,published,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:45.021Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.083Z,,,variant_01K09PBWJTERCQMNCXBFSQ2WV7,Headphone White,HEADPHONE-WHITE,,,,,false,false,,2025-07-16T13:21:45.050Z,,,,,,Color,White,,,,149,,149,prod_01K09PBWHV60RMQ9R6BSFJ2RY0,2025-07-16T13:21:45.050Z,0,,
prod_01K09PBWHV60RMQ9R6BSFJ2RY0,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,published,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01K09PBW3QGZ6WCBCFRGGVR2M6,,2025-07-16T13:21:45.021Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.083Z,,,variant_01K09PBWJTPZHNT9R5WRMFN5CM,Headphone Black,HEADPHONE-BLACK,,,,,false,false,,2025-07-16T13:21:45.050Z,,,,,,Color,Black,,,,149,,149,prod_01K09PBWHV60RMQ9R6BSFJ2RY0,2025-07-16T13:21:45.050Z,0,,
prod_01K09PBWMT01EEFWG9SQT6DGJR,wireless-keyboard-touch-id-numeric-keypad,Wireless Keyboard | Touch ID | Numeric Keypad,published,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,,,2025-07-16T13:21:45.116Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-side.png,,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.084Z,,,variant_01K09PBWNPAB0B4X1K95HMXJ6A,Keyboard Black,KEYBOARD-BLACK,,,,,false,false,,2025-07-16T13:21:45.143Z,,,,,,Color,Black,,,,99,,99,prod_01K09PBWMT01EEFWG9SQT6DGJR,2025-07-16T13:21:45.143Z,0,,
prod_01K09PBWMT01EEFWG9SQT6DGJR,wireless-keyboard-touch-id-numeric-keypad,Wireless Keyboard | Touch ID | Numeric Keypad,published,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,,,2025-07-16T13:21:45.116Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-side.png,,,false,,,,,sc_01K09PBVMK1T7A8H1BD6D0Q4CM,2025-07-22T04:28:05.084Z,,,variant_01K09PBWNPFMQJK5SSNFNPC5EX,Keyboard White,KEYBOARD-WHITE,,,,,false,false,,2025-07-16T13:21:45.143Z,,,,,,Color,White,,,,99,,99,prod_01K09PBWMT01EEFWG9SQT6DGJR,2025-07-16T13:21:45.143Z,0,,
